,Name,Rating,Duration,Category,Year,Cast,Synopsis,Link
68,Plane,R,107 MINS,"ACTION, SUSPENSE",2023,"Gerard Butler, Mike Colter, Daniella Pineda",A pilot and an accused murderer must save passengers from dangerous rebels on a war-torn island.,https://www.starz.com/us/en/movies/plane-67776
69,Lazarus,TV-MA,105 MINS,"ACTION, SCI-FI",2021,"Sean Riggs, Costas Mandylor, Shane Brolly","Brought back from the dead, a vigilante uses his newfound superpowers to battle an evil organization.",https://www.starz.com/us/en/movies/lazarus-65160
70,Sisu,R,91 MINS,"ACTION, WAR",2023,"Jorma Tommila, Aksel Hennie, Jack Doolan","During the last days of World War II, a solitary prospector crosses paths with Nazis on a scorched-Earth retreat in northern Finland.",https://www.starz.com/us/en/movies/sisu-69500
71,Independence Day,PG-13,144 MINS,"SCI-FI, ACTION",1996,"Will Smith, Bill Pullman, Jeff Goldblum","The U.S. President pilots a jet fighter to help defend the planet against a massive alien invasion! A rousing sci-fi action adventure, Oscar-winner for Best Visual Effects. With Jeff Goldblum, Randy Quaid.",https://www.starz.com/us/en/movies/independence-day-38401
72,Operation Fortune: Ruse de Guerre,R,113 MINS,"ACTION, COMEDY",2023,"Jason Statham, Aubrey Plaza, Cary Elwes",MI6 agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,https://www.starz.com/us/en/movies/operation-fortune-ruse-de-guerre-69298
73,London Heist,R,95 MINS,"ACTION, SUSPENSE",2015,"Craig Fairbrass, James Cosmo, Mem Ferda",A criminal goes on the warpath after his heist money is stolen and his father is murdered.,https://www.starz.com/us/en/movies/london-heist-62696
74,X-Men: The Last Stand,PG-13,104 MINS,"ACTION, SCI-FI",2006,"Hugh Jackman, Alan Cumming, Patrick Stewart",From Marvel Comics: An all-out war looms when the discovery of a cure for mutations draws a line between the followers of Charles Xavier and those of Magneto.,https://www.starz.com/us/en/movies/x-men-the-last-stand-38162
75,You Don't Mess With the Zohan,PG-13,112 MINS,"COMEDY, ACTION",2008,"Adam Sandler, Robert Smigel, John Turturro","An Israeli commando, skilled in the art of self-defense, fakes his own death and moves to New York and pursue his dream - becoming a hairstylist. But complications ensue when he takes on some neighborhood bullies!",https://www.starz.com/us/en/movies/you-dont-mess-with-the-zohan-28918
76,Joy Ride,R,94 MINS,COMEDY,2023,"Ashley Park, Sherry Cola, Stephanie Hsu","Follows four Asian-American friends as they embark on an epic, no-holds-barred journey of bonding, belonging and wild debauchery that reveals the universal truth of what it means to know and love who you are.",https://www.starz.com/us/en/movies/joy-ride-66782
77,The Blackening,R,97 MINS,"COMEDY, HORROR",2023,"Grace Byers, Jermaine Fowler, Antoinette Robertson",Seven Black friends who go away for the weekend only to find themselves trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.,https://www.starz.com/us/en/movies/the-blackening-69096
78,Just Go With It,PG-13,116 MINS,"COMEDY, ROMANCE",2011,"Adam Sandler, Jennifer Aniston, Nicole Kidman","An unmarried plastic surgeon tells his girlfriend he's divorcing his abusive wife. When she demands to meet the soon-to-be ex, the doc asks his single mom assistant to be his pretend wife - complications ensue!",https://www.starz.com/us/en/movies/just-go-with-it-44132
79,"Me, Myself & Irene",R,116 MINS,COMEDY,2000,"Jim Carrey, Renee Zellweger, Robert Forster","Mild-mannered Charlie, a cop with multiple personality disorder, escorts Irene back to her hometown - and loses his medication on the trip. Soon, Charlie and his aggressive alter ego Hank both fall in love with Irene.",https://www.starz.com/us/en/movies/me-myself-irene-26062
80,Whipped,R,82 MINS,COMEDY,2000,"Amanda Peet, Brian Van Holt, Zorie Barber","In this raw comedy, three buddies who meet every week to discuss and describe their sexual conquests discover they are all seeing the same woman - setting off a wild competition to win her affections!",https://www.starz.com/us/en/movies/whipped-68461
81,50 First Dates,PG-13,99 MINS,"COMEDY, DRAMA",2004,"Adam Sandler, Drew Barrymore, Rob Schneider",A commitment-averse man finds the love of his life - but her short-term memory condition means she forgets about him every morning! Can the man keep the girl falling in love with him every day?,https://www.starz.com/us/en/movies/50-first-dates-48991
82,Ice Age: The Meltdown,PG,90 MINS,"ANIMATED, COMEDY",2006,"Ray Romano, John Leguizamo, Denis Leary","When Manny, Sid and Diego discover that miles of melted ice will soon flood their valley, they must warn everyone and figure out a way to escape the coming deluge.",https://www.starz.com/us/en/movies/ice-age-the-meltdown-31168
83,Big Daddy,PG-13,93 MINS,"COMEDY, DRAMA",1999,"Adam Sandler, Joey Lauren Adams, Jon Stewart","A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",https://www.starz.com/us/en/movies/big-daddy-52017
84,The House Next Door: Meet The Blacks 2,R,97 MINS,"COMEDY, HORROR",2021,"Mike Epps, Katt Williams, Snoop Dogg","After moving back to his old neighborhood, a struggling writer can't seem to concentrate on his work knowing there may be an actual vampire living next door.",https://www.starz.com/us/en/movies/the-house-next-door-meet-the-blacks-2-64403
85,Three Can Play That Game,R,90 MINS,"COMEDY, ROMANCE",2008,"Vivica A. Fox, Jason George, Jazsmin Lewis","In the sequel to Two Can Play that Game, Fox once again stars as Shante Smith, a relationship expert who uses her knowledge of the male psyche to help women get what they want.",https://www.starz.com/us/en/movies/three-can-play-that-game-10490
86,Bulletproof,R,84 MINS,"ACTION, COMEDY",1996,"Damon Wayans, Adam Sandler, James Caan",A pair of crooks end their partnership when one is outed as an undercover cop. But--years later--they reluctantly team up again to track down a murderous drug dealer in this action-comedy.,https://www.starz.com/us/en/movies/bulletproof-40044
87,30 Minutes Or Less,R,83 MINS,"COMEDY, ACTION",2011,"Jesse Eisenberg, Danny McBride, Aziz Ansari","Two losers decide crime can pay - so they strap a bomb to a hapless pizza delivery guy and tell him to rob a bank in this raunchy, action-packed comedy!",https://www.starz.com/us/en/movies/30-minutes-or-less-45110
88,Meet The Blacks,R,94 MINS,"HORROR, COMEDY",2016,"Mike Epps, Gary Owen, Zulay Henao","A man moves his family to Beverly Hills on the same day of the city's annual purge, when all crime is legal for 12 hours.",https://www.starz.com/us/en/movies/meet-the-blacks-45045
89,Like Mike,PG,100 MINS,"FAMILY, COMEDY",2002,"Jesse Plemons, Morris Chestnut, Jonathan Lipnicki","A 14-year-old orphan becomes an NBA superstar after trying on a pair of sneakers with the faded initials ""M.J."" on the inside.",https://www.starz.com/us/en/movies/like-mike-37767
90,Can You Keep a Secret?,TV-MA,94 MINS,"COMEDY, ROMANCE",2019,"Alexandra Daddario, Tyler Hoechlin, Kimiko Glenn","Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO.",https://www.starz.com/us/en/movies/can-you-keep-a-secret-64183
91,Sabotage,R,109 MINS,"ACTION, CRIME",2014,"Arnold Schwarzenegger, Sam Worthington, Terrence Howard",Members of an elite DEA task force are eliminated one by one following their successful robbery of a powerful drug cartel's safe house.,https://www.starz.com/us/en/movies/sabotage-50620
92,Cold Skin,TV-MA,106 MINS,"HORROR, SCI-FI",2017,"Ray Stevenson, David Oakes, Aura Garrido","A young man arrives on a desolate island to assume the post of weather observer. He finds no trace of the man he was sent to replace, just a deranged castaway who has witnessed a horror he refuses to name.",https://www.starz.com/us/en/movies/cold-skin-65156
93,State of Play,PG-13,127 MINS,"CRIME, DRAMA",2009,"Russell Crowe, Jason Bateman, Helen Mirren",A member of parliament and his former campaign manager-turned journalist find themselves on opposite sides after the parliamentarian's research assistant/mistress turns up dead.,https://www.starz.com/us/en/movies/state-of-play-50003
94,Get the Gringo,R,96 MINS,"ACTION, SUSPENSE",2012,"Mel Gibson, Peter Stormare, Dean Norris",A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a young boy.,https://www.starz.com/us/en/movies/get-the-gringo-65163
95,Blame,TV-MA,99 MINS,"DRAMA, SUSPENSE",2017,"Quinn Shephard, Chris Messina, Nadia Alexander","A substitute drama teacher at a suburban high school develops a taboo relationship with an unstable student, sparking a trail of jealous sabotage from the student's peers.",https://www.starz.com/us/en/movies/blame-65076
